accumulator	累加器
acyclic graph directory	非循环图目录
adapter	适配器
addressing	编址，寻址
algorithm	算法
algorithm	算法
algorithmic analysis	算法分析
analogy	类比
ANSI	美国国家标准学会
arithmetic and logic unit(ALU)	算术／逻辑部件
array 	数组
array data type	数组数据类型
ASCII	美国信息交换用标准代码
assembler	汇编程序，汇编器
assignment	赋值
asymmetric	非对称的
asynchronous	异步的
atomic data type	原子数据类型
background	后台
bandwidth	＂宽带＂（外设与存储器的传送速率范围）
batch system	批处理系统
benchmark	基准
benchmark program	基准程序
Binary Coded Decimal(BCD)	二进制编码的十进制，二十进制
Boolean algebra	布尔代数
branch instruction	转移指令，分支指令
breakpoint	断点
buffering	缓冲
buffering	缓冲技术
bus	总线
bus	总线
cache	高速缓冲存储器，高速缓存
central processing unit(CPU)	中央处理器
central-memory unit	中央存储器
channel	信道，通道
chip	芯片
chip	芯片
clock	时钟
clock	时钟，同步
code conversion	代码转换
coherency	相关，相干
Compact Disk ROM(CD-ROM)	只读光盘
compiler	编译器，编译程序
compiler	编译语言
complement	补
Complex Instruction Set Computer(CISC)	复杂指令系统计算机
computer	计算机
computer performance	计算机性能
concurrent language	并发式语言
concurrently	并发地
connected graph	连通图
contiguous allocation	接续分配
control unit	控制器，控制部件
coprocessor I/O	协处理器I/O
daisy chain	菊花链
data hiding	数据隐藏
data structure	数据结构
data type	数据类型
data value	数据值
dataflow language	数据流语言
debugger	调试程序，排错程序
decentralized	分散式（的）
declarative language	说明性语言
desltop operating system	桌面操作系统
device-independent	（与）设备无关的
dircet memory access(DMA)	直接存储器存取
directed graph	有向图
directory	目录
disk drive	磁盘驱动器
distributed	分布式（的）
Dynamic Domain Name System(DDNS)	动态域名系统
Dynamic RAM(DRAM)	动态随机存储器
EBCDIC	扩展的二十进制交换码
edge	边
empty set	空集
encapsulation	包装，封装
encrypting file system(EFS)	加密式文件系统
expurucal measure	经验度量
Eulerian/Hamiltonian	欧拉图－哈密尔顿
even-parity	偶检验
event-driven programming	事件驱动的程序设计
exception	异常
exclusion	＂异＂运算
execuiton time	执行时机
execution-rate	执行速率
expression	表达式
facility	设施
FIFO(first in first out)	先进后出
file	文件
file system	文件系统
finite set	有限集
fixed-point unit	定点（运算）部件
floating-point unit	浮点部件
floating-point unit	浮点（运算）部件
floppy disk(diskette)	软磁盘
four-colour theorem	四色定理
functional language	函数（式）语言
General Public License(GPL)	公用授权协议
generalization	概括，推广
general-purpose machine	通用（计算）机
global memory	全局存储器
Gnu's Not UNIX(GNU)	一个自由软件组织
goal-directd	目标导向的
graph	图
hard disk	硬（磁）盘
hardware	硬件
hierarchical memory	存储器层次结构
higher-level abstract data type	高层抽象数据类型
high-level language	高级语言
HPIFO(highest-priority in，first-out）	最高优先级先进先出
identity	标识，身份
imperative language	命令式语言
indexed allocation	索引式分配
induction	归纳法
infinite set	无限集
information processing	信息处理
inheritance	继承性
input device	输入设备
input/output control system(IOCS)	输入输出控制系统
input/output system	输入输出系统
insruction set	指令系统，指令集
instruction	指令
instruction set	指令系统，指令集
instruction set	指令集，指令系统
integrated circuit(IC)	集成电路
interpreter	解释程序
interrupt	中断
intersection	交
isomorphic	同构的
job	作业
job management	作业管理
job queue	作业队列
kernel	内核
latency	潜伏时间，等待时间
latency	等待时间
LIFO(last in first out）	后进先出
linked allocation	链接分配
Linux	以Linux命名的操作系统
Linux documentation project(LDP)	Linux文档计划
load	装入，加载
loading balancing 	负载均衡
Local Area Network(LAN)	局域网
lofical record	逻辑记录
logic or constraint-based language	逻辑或基于约束的语言
loop	环
loop structure	循环结构
machine cycle	机器周期
machine language	机器语言
macrochart	宏流程图
macroinstruction	宏指令
magnetic disk	磁盘
magnetic tape	磁带
main memory	主存储器
mainframe	主机，特大型机
mainframe	主机
master processor 	主处理器
matching	匹配
measures of efficiency	效率度量
megahertz(MHz)	兆赫
memory-mapped I/O	存储器映射I/O
metric	尺度，指标
microchart	微流程图
microcode	微代码，微指令
microcomputer	微型计算机，微机
microinstruction	微指令
microprocessor	微处理器
microprogram	微程序
millions of instructions executed per second(MIPS)	百万条指令（数）每秒
minicomputer	小型计算机
mnemonic	助记的
modem	调制解调器
module	模块
Moore's law	摩尔定律
multiprocessing	多（重）处理（技术）
multiprocessor	多处理器
multiprogramming	多道程序设计
multitask	多任务
multiuser	多用户
multiuser time-sharing system	多用户分时系统
network basic input/output system(NetBIOS)	网络基本输入输出系统
new technology file system(NTFS)	NT文件系统
object program	目标程序
object-oriented language	面向对象的语言
object-oriented programming	面向对象的程序设计
object-oriented programming	面向对象的程序设计
offline operation	脱机操作
operand	操作数
operand	操作数
operand	操作数
operation	操作，操作码，操作码指令
operation code	操作码
output device	输出设备
page frame	页帧
paged virtual memory	页式虚拟存储器
parallelism	并行性
parity checking	奇偶检验
path	通路，路径
path	路径
pattern of bits	位模式
peripheral	外围，外围设备
peripheral Component Interconnect(PCI)	外围部件互连（总线）
pipeline	流水线
pipeline	流水线
planar graph	平面图
polling	轮询
polymorphism	多态性
portable	可移植的
Portable Operating System UNIX(POSIX)	可移植的UNIX操作系统
prepositional logic	前置逻辑
priority	优先级
procedure	过程
processor	处理器
program	程序
program counter	程序计数器
program flowchart	程序流程图
programmed I/O	程序控制I/O
programming control structure	编程控制结构
programming language	程序设计语言
prototype	原型
public key(PK)	公钥
quality of service(QoS)	服务质量
queue	队列
Random-Access Memory(RAM)	随机（访问）存储器
Read-Only Memory(ROM)	只读存储器
real memory(storage)	实存储器
real-time system  	实时系统
record	记录
recursion	递归
redirection	重定向
reduced instruction set computer(RISC)	精简指令系统计算机
register	寄存器
register file	存储器组
register file	寄存器组，栈
resource management	资源管理
resource sharing 	资源共享
reusability	可重用性
Robust	鲁棒，稳健，健壮
selection structure	选择结构
sequence structure	顺序结构
set	集（合）
set algebra	集合代数
set of instruction	指令集，指令系统
shared-disks MP	共享磁盘多处理器
shared-memory MP	共享内存多处理器
shared-nothing MP	无共享多处理器
simple graph	简单图
single-level directory	单极目录
slave processor	从处理器
software	软件
source code	源代码
source program	源程序
special-purpose machine	专用（计算）机
spooling system	假脱机系统
stack	栈
statement	语句
structured programming	结构化程序设计
strutured data type	结构化数据类型
subdirectory	子目录
subroutine	子例程
subset	子集
supercomputer	超级计算机
superscalar	超级标量
superscalar	超标量
symbolic address	符号地址
symmetric	对称的
Symmetric Multi Processing(SMP)	对称式多处理
symmetric multiprocessing(SMP)	对称多处理（技术）
synchronization	同步化
synchronous	同步的
system call	系统调用
tape drive	磁带驱动器，磁带机
terminal	终端
thread	线程
throughput	吞吐量
time-shared operating system	分时操作系统
timing 	定时，同步
token	权标，令牌
total cost of ownership(TCO)	总拥有成本
transaction processing	事务处理
tree	树
tree-structure directory	树结构目录
two-level directory	二级目录
union	并行性
uniprocessing	单处理（技术）
universal set	全集
UNIX	一种计算机操作系统
UNIX	一种操作系统
vertex	顶点
virtual private network(VPN)	虚拟专用网
volume	卷
Von Neumann language	冯.诺依曼语言
watch point	查看断点
Windows Internet Naming Service(WINS)	视窗因特网名字服务
Windows New Technology(Windows NT)	Windows NT　操作系统
word size(word length)	字长
"write once,read many(WORM)"	一次写多次读
SPEC	System Performance Evaluation Corporation
